session_id,user_id,reference_text,reference_text_len,typed_text,typed_text_len,time_taken_sec,accuracy_percent,mistake_count,backspace_estimate,date_time,self_stress_level,sleep_hours,notes,chars_per_sec,mistakes_per_char,difficulty_score,word_mistake_count,word_mistake_rate
1,varun,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory , problem solving, teamwork , and clear communication in one place.",162,76.72,58.64,67,65,2025-11-21 20:34:27,1,6.0,,2.1115745568300315,0.41875,65,12,0.075
2,varun,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,83.15,100.0,0,0,2025-11-21 20:36:37,0,6.5,,2.1286831028262174,0.0,0,0,0.0
3,varun,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,100.53,100.0,0,0,2025-11-21 20:40:45,1,6.0,not feeling well,1.7606684571769622,0.0,0,0,0.0
4,varun,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,24.07,100.0,0,0,2025-11-21 20:41:51,0,7.0,,2.949729954299958,0.0,0,0,0.0
5,varun,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,27.62,100.0,0,0,2025-11-21 20:42:47,0,8.0,,2.570601013758146,0.0,0,0,0.0
6,varun,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,47.68,100.0,0,0,2025-11-21 20:44:28,1,6.5,,2.6006711409395975,0.0,0,0,0.0
7,varun,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Mchune learning models can discover hidden patterns in noisy data, helping us make better prediuctions abpit the  real worls.",125,36.7,15.2,106,105,2025-11-21 20:46:13,2,4.0,feeling exhausted,3.4059945504087192,0.8548387096774194,105,4,0.03225806451612903
8,varun,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends thst explain why their performance improves or drops over time.",180,66.73,99.44,1,1,2025-11-21 20:47:57,0,9.0,,2.6974374344372842,0.005555555555555556,1,1,0.005555555555555556
9,varun,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time iut can increase mistakes, reduce focus, and make even simple tasks fell much harder than they actually are.",178,58.87,41.57,104,103,2025-11-21 20:50:36,2,4.5,exam tomorrow,3.0236113470358417,0.5875706214689266,103,2,0.011299435028248588
10,varun,Python makes data science fun and powerful for students who love logic.,71,Python makes data scioence fun and powerful foe students who love logic.,72,27.45,29.17,51,50,2025-11-21 20:52:22,2,3.0,bad health,2.6229508196721314,0.7183098591549296,50,2,0.028169014084507043
11,varun,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,65.27,100.0,0,0,2025-11-21 20:54:53,0,9.0,,2.4513559062356367,0.0,0,0,0.0
12,archita,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noissy data, helping us make better predictions about the real worlds.",126,59.96,48.41,65,63,2025-11-21 21:14:17,1,5.0,too much work to do,2.1014009339559707,0.5241935483870968,63,2,0.016129032258064516
13,archita,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projets are a grat way to learn real skills, because they force us to comnine theory , problems siolving, teamwork, and clear communication in one place.",161,77.43,9.94,145,144,2025-11-21 21:16:53,2,2.0,,2.079297429936717,0.90625,144,14,0.0875
14,archita,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks fast much harder than they actually are.",177,70.1,97.74,4,4,2025-11-21 21:18:44,0,9.0,feeling relaxed,2.524964336661912,0.022598870056497175,4,2,0.011299435028248588
15,archita,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are great way to learn real skills , because they focus to combine theory, problem solving, teamwork, and clear comuunication in one place.",156,61.13,16.25,134,138,2025-11-21 21:20:12,1,3.0,,2.551938491738917,0.8375,138,21,0.13125
16,archita,Python makes data science fun and powerful for students who love logic.,71,Python make data science fun and powerful for students who love logic.,70,29.26,15.49,60,61,2025-11-21 21:21:26,0,6.0,tired,2.3923444976076556,0.8450704225352113,61,1,0.014084507042253521
17,archita,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"stress does not always reuce productivity immediately, but over time it can increase mistakes, reduce focud, and make ecen simole tasks feelk much hardero than they actually sare.",179,69.54,21.79,140,138,2025-11-21 21:23:09,2,1.0,Had an exam tommmorow,2.5740580960598214,0.7909604519774012,138,8,0.04519774011299435
18,archita,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,29.78,100.0,0,0,2025-11-21 21:24:06,0,12.0,Too relaxed,2.3841504365345867,0.0,0,0,0.0
19,archita,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their dailu habits, such as sleep. screen time, and study hours, they can often se clear trends that explain why their performance improve or drops over time.",178,68.78,55.56,80,82,2025-11-21 21:25:45,1,5.0,not feeling well,2.587961616749055,0.4444444444444444,82,4,0.022222222222222223
20,archita,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits such as sleep, screen timw, and study houers, they can ogten see clear trends that explain why their performance imorove or drops over time.",179,82.13,64.44,64,65,2025-11-21 21:27:44,1,7.0,good,2.1794715694630464,0.35555555555555557,65,5,0.027777777777777776
21,archita,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they focus to combine theory, problem solving, teamwork, and clear communication in one place.",157,58.24,47.5,84,87,2025-11-21 21:29:17,1,6.0,,2.695741758241758,0.525,87,14,0.0875
22,archita,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problems solving ,tr*eamwork, clear communication in one place.",159,68.7,65.62,55,56,2025-11-21 21:31:27,1,4.0,,2.314410480349345,0.34375,56,9,0.05625
23,archita,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictios about the real world.",123,48.23,80.65,24,25,2025-11-21 21:32:47,1,6.0,neutral,2.550279908770475,0.1935483870967742,25,1,0.008064516129032258
24,tarushi,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"when students track their daily habits, such as sleep , screen time, and study hourd, they can often see clear trends that explain why heir performance improves or drops over time.",180,63.18,55.0,81,81,2025-11-21 21:35:28,1,6.0,has assignment to do,2.849002849002849,0.45,81,24,0.13333333333333333
25,tarushi,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"machine learning modles can discover hidden patterns in noisy daya, helping us make predictions about the real world.",117,38.54,65.32,43,50,2025-11-21 21:36:37,1,5.0,,3.035806953814219,0.3467741935483871,50,9,0.07258064516129033
26,tarushi,Python makes data science fun and powerful for students who love logic.,71,Pyhton makes data science fun and powerful for students who love logic.,71,23.5,97.18,2,2,2025-11-21 21:37:26,0,9.0,good sleep,3.021276595744681,0.028169014084507043,2,1,0.014084507042253521
27,tarushi,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immedietely, but over time it can increase mistakes , reduce focus, and make even simple taks fells much harder than they acctually aee.",179,58.95,55.31,80,78,2025-11-21 21:38:42,2,6.0,,3.0364715860899065,0.4519774011299435,78,17,0.096045197740113
28,tarushi,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they fprce us to combine theory , problem solving, teamwork, and clear communicATON IN ONE PLACE.",160,50.9,61.25,62,62,2025-11-21 21:40:00,1,7.0,exam,3.1434184675834973,0.3875,62,12,0.075
29,tarushi,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,35.08,99.06,1,1,2025-11-21 21:41:01,0,9.0,happy mood,3.0216647662485747,0.009433962264150943,1,1,0.009433962264150943
30,tarushi,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,49.09,100.0,0,0,2025-11-21 21:42:17,0,10.0,good,3.259319617029945,0.0,0,0,0.0
31,tarushi,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,32.07,100.0,0,0,2025-11-21 21:43:22,0,8.0,,3.3052697224820706,0.0,0,0,0.0
32,tarushi,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,22.1,100.0,0,0,2025-11-21 21:44:00,0,8.0,,3.2126696832579182,0.0,0,0,0.0
33,tarushi,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"machine learning models can discover hidden patterns in noisy data, helping us make better predictions abouty the real world.",125,35.08,85.6,18,17,2025-11-21 21:44:52,1,7.0,neutral,3.5632839224629422,0.14516129032258066,17,2,0.016129032258064516
34,tarushi,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,52.04,100.0,0,0,2025-11-21 21:46:05,0,9.0,,3.074558032282859,0.0,0,0,0.0
35,tarushi,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,37.3,100.0,0,0,2025-11-21 21:47:06,0,9.0,slept well,2.841823056300268,0.0,0,0,0.0
36,daksh,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment,105,35.92,98.11,2,3,2025-11-21 23:55:21,0,7.0,feeling well,2.923162583518931,0.018867924528301886,3,2,0.018867924528301886
37,daksh,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment,105,32.47,99.06,1,2,2025-11-21 23:57:02,0,7.0,well,3.2337542346781647,0.009433962264150943,2,1,0.009433962264150943
38,daksh,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment,105,28.56,3.39,171,243,2025-11-21 23:58:51,2,3.0,not well,3.6764705882352944,0.9661016949152542,243,28,0.15819209039548024
39,daksh,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic,70,24.67,98.59,1,2,2025-11-21 23:59:37,0,8.0,nice,2.8374543980543168,0.014084507042253521,2,1,0.014084507042253521
40,daksh,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"when stduents track their daily habits, such as sleep, screen time, and study hours , they hoften can see clear trends that explain why their performance improves or drops overtime",180,63.41,44.44,100,100,2025-11-22 00:02:06,2,4.0,not well,2.8386689796562057,0.5555555555555556,100,19,0.10555555555555556
41,daksh,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a gret way to lren rel skills, because they foce us to combine theory, problem solvimg, teamwork, and clear communication in one place",155,51.91,20.0,128,133,2025-11-22 00:03:19,2,4.0,not well,2.9859371989982666,0.8,133,6,0.0375
42,daksh,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops overtime",178,56.83,96.67,6,8,2025-11-22 00:04:50,1,6.0,exam tomorrow,3.1321485131092732,0.03333333333333333,8,2,0.011111111111111112
43,daksh,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually aee",176,55.69,98.31,3,4,2025-11-22 00:06:43,1,6.0,exam,3.16035194828515,0.01694915254237288,4,2,0.011299435028248588
44,daksh,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,36.33,100.0,0,0,2025-11-22 00:07:41,0,8.0,well,2.917698871456097,0.0,0,0,0.0
45,daksh,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,"typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment,",106,37.88,98.11,2,2,2025-11-22 00:08:56,1,6.0,well,2.7983104540654695,0.018867924528301886,2,2,0.018867924528301886
46,daksh,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication inone place.",159,61.27,93.12,11,12,2025-11-22 00:11:40,1,5.0,felling well,2.595070997225396,0.06875,12,3,0.01875
47,daksh,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,43.34,100.0,0,0,2025-11-22 00:13:00,0,8.0,well,2.8610982925703734,0.0,0,0,0.0
48,chakshu,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productiviy imediately, but over time it can increase mistakes, reduce focus,and make even simple tasks feel much harder than they actually are.",174,76.88,23.16,136,139,2025-11-22 00:34:16,2,4.0,not feeling well,2.263267429760666,0.768361581920904,139,15,0.0847457627118644
49,chakshu,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,97.46,100.0,0,0,2025-11-22 00:36:11,0,8.0,relaxed,1.8161296942335319,0.0,0,0,0.0
50,chakshu,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,65.19,100.0,0,0,2025-11-22 00:37:55,1,6.0,in hurry,2.761159687068569,0.0,0,0,0.0
51,chakshu,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits , such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",181,71.82,22.65,140,139,2025-11-22 00:40:25,1,5.0,,2.5201893622946256,0.7777777777777778,139,26,0.14444444444444443
52,chakshu,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force to combine theory, problem solving, teamwork, and clear communication in one place.",157,60.63,49.38,81,84,2025-11-22 00:41:50,1,6.0,good,2.589477156523173,0.50625,84,13,0.08125
53,chakshu,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make simple tasks much harder than they actually are.",167,62.85,69.49,54,64,2025-11-22 00:44:19,1,5.0,bored,2.657120127287192,0.3050847457627119,64,10,0.05649717514124294
54,chakshu,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noisy data, helping us make better predections about the real world.",124,52.82,99.19,1,1,2025-11-22 02:25:33,0,7.0,,2.347595607724347,0.008064516129032258,1,1,0.008064516129032258
